Year,Extent 10^6 sq km,Missing 10^6 sq km
1990,4268.252,0
1991,4288.479,0
1992,4432.436,0
1993,4351.914,0
1994,4384.131,0
1995,4166.515,0
1996,4333.728,0
1997,4258.679,0
1998,4291.444,0
1999,4267.385,0
2000,4211.992,0
2001,4234.006,0
2002,4147.446,0
2003,4159.986,0
2004,4113.999,0
2005,3981.046,0
2006,3932.004,0
2007,3823.045,0
2008,4017.892,0
2009,3990.169,0
2010,3909.658,0
2011,3826.476,0
2012,3808.632,0
2013,3977.447,0
2014,3938.531,0
2015,3856.523,0
2016,3719.833,0
2017,3793.336,0
2018,3779.59,0
2019,3723.359,0
